AnimalID,AnimalType,Intake Date,IntakeYear,IntakeMonth,Name,Breed,Estimated Age,Sex,SpayNeuter,Size,Color,IntakeType,Outcome Type,Outcome Subtype,Zip Where Found,Latitude,Longitude,Zip Where Placed,OutcomeDate,OutcomeYear,OutcomeMonth
A448618,DOG,2011-12-02T00:00:00Z,2011,December,SADIE,UNKNOWN,UNKNOWN,FEMALE,FALSE,MED,TAN,Stray,Returned to Owner,In field,40291,38.1472,-85.5917,40291,2011-12-02T00:00:00Z,2011,December
A448619,DOG,2011-12-02T00:00:00Z,2011,December,STELLA,PUG - BOSTON TERRIER,UNKNOWN,FEMALE,FALSE,SMALL,BR BRINDLE,Stray,Returned to Owner,In field,40291,38.1472,-85.5917,40291,2011-12-02T00:00:00Z,2011,December
A448620,OTHER,2011-12-02T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,SMALL,BLACK,Stray,Euthanized,Medical,40215,38.1919,-85.7841,UNKNOWN,2011-12-02T00:00:00Z,2011,December
A448621,DOG,2011-12-02T00:00:00Z,2011,December,MAX,AKITA - GERM SHEPHERD,Older than 1 year,MALE,TRUE,LARGE,TAN,Stray,Adopted,Walk In,40272,38.0961,-85.8599,40218,2011-12-23T00:00:00Z,2011,December
A448621,DOG,2012-02-02T00:00:00Z,2012,February,MAX,AKITA - GERM SHEPHERD,Older than 1 year,MALE,TRUE,LARGE,TAN,Owner Surrender,Adopted,Friend,40218,38.1938,-85.6573,40203,2012-03-04T00:00:00Z,2012,March
A448622,CAT,2011-12-02T00:00:00Z,2011,December,FLOWER,UNKNOWN,UNKNOWN,MALE,TRUE,LARGE,BUFF,Stray,Transferred to Rescue Group,Ky Humane Society,40215,38.1919,-85.7841,UNKNOWN,2011-12-02T00:00:00Z,2011,December
A448626,CAT,2011-12-02T00:00:00Z,2011,December,SHIMMER,UNKNOWN,Older than 1 year,FEMALE,TRUE,MED,TORTIE,Owner Surrender,Euthanized,Medical,40220,38.215,-85.6221,UNKNOWN,2011-12-14T00:00:00Z,2011,December
A448627,OTHER,2011-12-02T00:00:00Z,2011,December,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FALSE,MED,TRICOLOR,Stray,Euthanized,Medical,40215,38.1919,-85.7841,UNKNOWN,2011-12-02T00:00:00Z,2011,December
A448628,DOG,2011-12-02T00:00:00Z,2011,December,LILLY,UNKNOWN,Youth - Younger than 1 year,FEMALE,TRUE,SMALL,RED,Owner Surrender,Adopted,Web PF,40216,38.1889,-85.8314,40213,2011-12-11T00:00:00Z,2011,December
A448629,DOG,2011-12-02T00:00:00Z,2011,December,SOPHIE,UNKNOWN,Youth - Younger than 1 year,FEMALE,TRUE,SMALL,BROWN,Owner Surrender,Adopted,Walk In,40216,38.1889,-85.8314,40057,2011-12-13T00:00:00Z,2011,December
A448630,CAT,2011-12-02T00:00:00Z,2011,December,LUNA,UNKNOWN,Youth - Younger than 1 year,FEMALE,TRUE,MED,BLACK,Owner Surrender,Adopted,Friend,40219,38.1416,-85.6822,40218,2012-02-04T00:00:00Z,2012,February
